"Qty";"Value";"Device";"Parts";"BEST";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"TP_SIGNAL_NAME";
"1";"";"R-EU_R0603";"RL";"";"";"";"unknown";"";"";"";"";
"7";"2.2uF";"C-EUC0603K";"C4, C12, C13, C15, CA4, CP3, CR3";"";"MURATA";"GRM188R61C225KE15D";"1735526";"";"";"";"";
"7";"2k2";"R-EU_R0402";"R3, R6, R7, R8, R9, RS1, RS2";"";"MULTICOMP";"MC 0.063W 0603 1% 10K";"9330399";"";"";"";"";
"2";"4µ7";"C-EUC0805";"CA2, CU1";"";"MURATA";"GRM219R61C475KE15D";"1845746";"";"";"";"";
"3";"4WIRE_CONN";"4WIRE_CONN";"U$10, U$11, U$12";"";"";"";"unknown";"";"";"";"";
"1";"8MHz";"CRYSTALCTS406";"Q1";"";"ABRACON";"ABMM2-8.000MHZ-E2-T";"1611803";"unknown";"";"";"";
"1";"10n 25V";"C-EUC0402";"CR2";"";"MULTICOMP";"MCCA000076";"1758924";"";"";"";"";
"2";"18pF";"C-EUC0402";"CQ1, CQ2";"";"MURATA";"GRM1885C1H180JA01D";"1828908";"";"";"";"";
"2";"39";"R-EU_R0402";"R1, R2";"";"YAGEO (PHYCOMP)";"RC0603FR-0739RL";"9238310";"";"";"";"";
"13";"100n";"C-EUC0402";"C1, C5, C6, C7, C14, CA1, CP1, CP2, CP4, CP5, CP6, CPR, CR1";"";"KEMET";"C0402C104K4RAC AUTO";"2070374";"";"";"";"";
"1";"220n";"C-EUC0402";"CA3";"";"KEMET";"C0402C224K9PACTU";"1572610";"";"";"";"";
"8";"330";"R-EU_R0402";"R11, R13, R15, R17, R19, RL1, RL2, RL3";"";"VISHAY DRALORIC";"CRCW0603330RFKEA";"1469803";"";"";"";"";
"1";"AT32UC3B0";"AT32UC3B0";"U$1";"";"ATMEL";"AT32UC3B0256-A2UT";"1715453";"";"";"";"";
"1";"BMP085";"BMP085";"U$9";"";"";"";"unknown";"";"";"";"";
"1";"L3G4200DHAND";"L3G4200DHAND";"U$5";"";"";"";"unknown";"";"";"";"";
"1";"LSM303HAND";"LSM303HAND";"U$7";"";"STMICROELECTRONICS";"LSM303DLHC";"2068595";"";"";"";"";
"1";"MCP1824ST-3302E/DB";"MCP1824ST-3302E/DB";"U1";"";"MICROCHIP";"MCP1824ST-3302E/DB";"1578379";"05N1293";"SOT-223-3";"Microchip";"";
"1";"QS6J1=FDC6312P";"QS6J1=FDC6312P";"T1";"Farnell 1525470 od 1700713";"FAIRCHILD SEMICONDUCTOR";"FDC6312P";"1700713RL";"";"";"";"";
"1";"TLP283";"TLP283";"OK3";"";"AVAGO TECHNOLOGIES";"ACPL-217-500E";"1602614";"unknown";"";"";"";
"1";"TLP283-4";"TLP283-4";"OK1";"";"AVAGO TECHNOLOGIES";"ACPL-247-500E";"1634758";"unknown";"";"";"";
"5";"TPB1,27";"TPB1,27";"RST, TCK, TDI, TDO, TMS";"";"";"";"unknown";"";"";"";"";
"6";"TPSQTP10SQ";"TPSQTP10SQ";"TP19, TP20, TP21, TP22, TP23, TP24";"";"";"";"unknown";"";"";"";"";
"18";"TPSQTP16SQ";"TPSQTP16SQ";"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18";"";"";"";"unknown";"";"";"";"";
"1";"UBB_MICRO_HIROSE";"UBB_MICRO_HIROSE";"U$4";"";"HRS (HIROSE)";"ZX62-B-5PA(11)";"1645325";"";"";"";"";
"3";"green";"LEDCHIP-LED0603";"LED1, LED2, LED3";"";"KINGBRIGHT";"KPG-1608ZGC";"1686061";"";"";"";"";
